EncouragingDiscouraging,ExpertiseScale,PosterTone,RespectfulDisrespectful,gender,speakerhidden,talkid
Discouraging,None-STEM degree,Negative,Neutral,male,"<br>for those who are interested, penn &amp; teller have a nice short skit that involves a slight of hand demonstration and then the explanation immediately after.  <span class=""highlighted"" data-timestamp=""1519149312348"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">for those of you who are upset that he merely 'performed' and did not adequately 'instruct'.</span>  http://www.youtube.com/watch?v=_qqx-jayixq  i apologize for the youtube clip.",1829
Discouraging,No degree,None,Neutral,male,"one time i saw a parrent yelling to his child "" don't run , you are gonna hurt yourselth . can't you walk like a normal person? "" he was actualy saying : ""don't practice sports , you are gonna be thin. can't you be fat like  me? """,1917
Encouraging,STEM degree,Neutral,Neutral,female,"<br><span class=""highlighted"" data-timestamp=""1519149393539"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">i knew that i have seen him before, he participated in an interesting bbc documentary: horizon - why do we talk.</span>   it`s freaky to see what level of detail can be achieved just by scanning the web. it feels almost like we are losing privacy by our subconscious accord.",1238
Encouraging,None-STEM degree,Positive,Respectful,male,"beyond the tremendous positive change this mayor and his city has had. i have to give a big kudos to oklahoma (and oklahoma city). i am from canada yet have heard so much about oklahoma. the people seem so friendly, funny and genuine. all the best to you okc!!!",525
Encouraging,STEM degree,None,Neutral,male,"his notion that the ""media is the message"" makes me wonder what marshall mcluhan, if he were alive today, would have to say about the computer and related media technologies, which seems to be transforming individuals and cultures.",1370
Encouraging,None-STEM degree,Neutral,Neutral,female,"as i undestand it, she calls for creative ignorance = the less one knows about the world, the more creative he is. aren't the insane the most creative people?",1458
Encouraging,STEM degree,None,Neutral,male,people here are talking about the needy buying these devices. would 25$ per village be cheap enough for charitys to hand them out. after all they spend millions of pounds on solutions like this,1846
Discouraging,STEM degree,Negative,Neutral,male,"<br><span class=""highlighted"" data-timestamp=""1519149823179"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">according to m. anholt's admission,</span> countries that are perceived to have the best reputation should easily buy goods at the cheapest price and sell them at the most expensive price! i doubt very much that this matches his list of ""good countries""!",395
Encouraging,No degree,Strongly Positive,Respectful,male,"<br><span class=""highlighted"" data-timestamp=""1519149846960"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">give yourself a high five because you are an extremely brave person.  being brave is when you are extremely afraid of something and yet you do it anyway, in your case over and over.</span>",510
Discouraging,STEM degree,Strongly Negative,Neutral,male,"<br><span class=""highlighted"" data-timestamp=""1519149884251"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">wow. i couldn't believe his opening comment on illegal immigrants. i guess this is what happens when you work with technology and forget about people.</span>",1937
Encouraging,STEM degree,Strongly Positive,Respectful,male,"<br><span class=""highlighted"" data-timestamp=""1519149913692"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">i'm totally envious of his ability to resolve and store numbers in his mind, and the speed in which he portrays the results with such accuracy.</span>",1920
Encouraging,No degree,Positive,Neutral,female,"<br><span class=""highlighted"" data-timestamp=""1519149958409"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">i cannot believe she didn't get a standing ovation after that. i mean you gotta be kidding me, for real?</span>",1274
Encouraging,STEM degree,Positive,Respectful,male,"<br><span class=""highlighted"" data-timestamp=""1519150039666"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">i think that edmund burke had a lot more to say about this subject than he was given time for.</span> there are plenty of strong reasons to resist change and a better understanding of them would be very beneficial to ""change agents"".",1797
Encouraging,None-STEM degree,None,Neutral,female,"how could you do this to a child( the thought even makes me tear up), they are hauling more then 10 times their on weight hours on end everyday!  they are only children...this is evil! -_-  i believe and pray that their suffering will end one day! ( ameen!!!!",859
Encouraging,None-STEM degree,Strongly Positive,Respectful,female,"<br><span class=""highlighted"" data-timestamp=""1519150116791"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">excellent lecture!</span>  more and more people are defame on internet, this evil trend have to be stop. <span class=""highlighted"" data-timestamp=""1519150114755"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">your lecture will wake up more people to fight with the cyber bully. your example will encourage people walks out the shadow.     internet is yours this time!  great job!</span>",234
Encouraging,STEM degree,None,Neutral,male,"think merge. light for hard data, bluetooth (radio) to get to the devices. you will be your own hub.",1134
Encouraging,No degree,Positive,Respectful,male,"<br><span class=""highlighted"" data-timestamp=""1519150445525"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">i hope you find your mum and sister one day, insha'allah.  what an inspiration.</span> i should be more grateful for everything i have and stop complaining about useless stuff.",646
