x,y,label
-9.23878,2.67807,0.00000
-1.59885,20.27754,0.00000
2.63166,-19.82925,1.00000
8.74059,5.62406,1.00000
4.96906,-19.04082,1.00000
-9.28855,2.27479,0.00000
-5.31824,19.19026,0.00000
0.86232,-12.91326,0.00000
-15.98621,12.44067,0.00000
14.69026,9.90301,0.00000
-7.33404,4.91963,0.00000
20.26656,-4.77026,1.00000
-12.02543,-12.78954,1.00000
20.28927,-2.19073,1.00000
-3.92999,11.57412,1.00000
8.15231,8.54975,1.00000
-9.33038,-15.28142,1.00000
-20.85742,5.13353,0.00000
0.90770,-17.85191,1.00000
-6.11775,-9.81298,0.00000
7.85772,-2.16918,1.00000
14.62796,8.15420,0.00000
-13.68174,8.23395,1.00000
-14.66679,2.49818,1.00000
-8.75969,-5.49674,0.00000
10.07598,4.39521,1.00000
15.58319,1.45899,0.00000
-8.42052,11.13260,1.00000
5.83269,16.63384,0.00000
18.37061,-11.45250,1.00000
-20.52226,1.34737,0.00000
14.26967,-14.44768,1.00000
7.14121,-17.81773,1.00000
5.25442,-5.65178,1.00000
-14.93950,-0.65665,1.00000
-7.26131,2.98577,0.00000
14.49555,-14.71047,1.00000
-22.00516,7.34271,0.00000
9.46689,16.29607,0.00000
0.33362,12.72526,1.00000
-11.75601,15.91931,0.00000
-5.18105,-17.71957,1.00000
-15.68824,13.05283,0.00000
-9.00020,-4.88392,0.00000
13.40955,-2.08213,0.00000
10.68265,15.06351,0.00000
19.19172,-9.52947,1.00000
5.71814,-18.17205,1.00000
15.66387,8.94866,0.00000
-20.67478,7.71983,0.00000
13.67606,-7.95919,0.00000
-3.31446,18.50947,0.00000
1.47317,5.07270,0.00000
8.26773,4.60190,1.00000
-6.16341,-12.33698,0.00000
19.93727,-8.46446,1.00000
-2.78127,-3.05079,1.00000
2.04535,11.98063,1.00000
4.91662,-18.74187,1.00000
8.97173,15.87833,0.00000
-12.92785,16.70893,0.00000
-14.94407,-2.11546,1.00000
-9.17145,2.08083,0.00000
-8.80382,11.45947,1.00000
-16.62791,-0.26394,1.00000
-17.87743,11.33481,0.00000
-14.39627,4.02545,1.00000
8.53649,3.86441,1.00000
16.33577,4.62563,0.00000
14.01073,5.89533,0.00000
21.06119,-3.65827,1.00000
3.85055,-5.75399,1.00000
1.58552,11.92547,1.00000
-15.91828,12.61872,0.00000
7.09235,-12.15158,0.00000
15.85367,-14.21591,1.00000
-17.04941,0.00548,1.00000
8.82089,14.08276,0.00000
-15.21341,-5.61680,1.00000
9.98593,-11.52697,0.00000
-0.34628,12.32853,1.00000
-20.60216,-0.55368,0.00000
6.73683,15.93402,0.00000
15.89083,1.37223,0.00000
-0.06254,12.86241,1.00000
-4.86547,12.11495,1.00000
11.05613,-17.43512,1.00000
10.39582,-17.62142,1.00000
6.93513,-18.00381,1.00000
-0.13724,-11.82735,0.00000
-9.72860,17.14620,0.00000
11.70671,13.34598,0.00000
16.25867,-2.09245,0.00000
16.72388,-10.82999,1.00000
-18.12655,11.05244,0.00000
